OP-TEE,1,1,1,1,1,1,1,1,1,1,1
,2,1.9995,1.986,1.9995,1.988,1.9955,1.962,1.9985,1.995,1.9935,1.9995
,4,3.94475,3.9705,3.93575,3.9955,3.95,3.99675,3.93275,3.94,3.9615,3.98375
,8,3.87125,3.88425,3.87875,3.8725,3.86675,3.8515,3.89337,3.91075,3.88175,3.88825
,16,3.92612,3.96862,3.91125,3.88275,3.95494,3.92569,3.89844,3.92431,3.91456,3.87644
,32,3.921,3.93513,3.93019,3.96344,3.90069,3.9445,3.91113,3.96194,3.96225,3.92163
,64,3.91195,3.92813,3.93539,3.94398,3.93953,3.92789,3.94539,3.95641,3.94141,3.92859
,128,3.89344,3.94508,3.95164,3.94141,3.93602,3.94984,3.92328,3.93711,3.94383,3.91195
,,,,,,,,,,,
,,,,,,,,,,,
Freesia 8,1,1,1,1,1,1,1,1,1,1,1
,2,1.998,1.959,1.999,1.992,1.9995,1.9885,1.99,1.982,1.9995,1.9965
,4,3.9685,3.95525,3.97425,3.9695,3.99225,3.977,3.9345,3.9855,3.95175,3.93525
,8,3.87062,3.846,3.84938,3.84725,3.873,3.86488,3.90075,3.90225,3.83925,3.841
,13,3.86462,3.84038,3.89692,3.84692,3.89538,3.84346,3.80077,3.85808,3.80423,3.86692
,14,3.42923,3.24615,3.53846,3.56038,3.52269,3.59577,3.48385,3.56192,3.51692,3.44423
,16,3.16312,3.18156,3.38734,3.14188,3.07563,3.43453,3.40547,3.39328,3.39688,3.09656
,32,1.67,1.4425,1.52062,1.53875,1.74438,1.56625,1.89781,1.54781,1.79906,1.62813
,64,0.969375,1.08531,0.904375,0.833594,1.03453,0.820625,0.776563,0.891875,0.833594,0.985
,128,0.493281,0.493281,0.437969,0.605625,0.440625,0.507188,0.631406,0.651406,0.561562,0.537188
,,,,,,,,,,,
,,,,,,,,,,,
Freesia 32,1,1,1,1,1,1,1,1,1,1,1
,2,1.9995,1.981,1.9995,1.9895,1.9995,1.9635,1.968,1.993,1.9995,1.996
,4,3.9675,3.9805,3.94425,3.9665,3.9585,3.9735,3.9605,3.9575,3.9015,3.91575
,8,3.90125,3.8655,3.86037,3.86863,3.88925,3.86088,3.9955,3.86425,3.89875,3.85775
,16,3.87938,3.86313,3.86187,3.89375,3.91453,3.83729,3.86646,3.83438,3.91594,3.85375
,32,3.88656,3.86875,3.86094,3.89271,3.87646,3.9325,3.91953,3.92656,3.90422,3.93063
,38,3.91158,3.84474,3.84737,3.88158,3.88289,3.85263,3.84211,3.88289,3.86184,3.85395
,39,3.73385,3.59538,3.63846,3.68718,3.62154,3.71179,3.57436,3.54205,3.57231,3.54872
,64,2.5625,2.75109,2.57969,2.46953,2.50469,2.5125,2.42109,2.49406,2.52734,2.51797
,128,1.3625,1.26133,1.2457,1.35,1.40195,1.23477,1.31445,1.29414,1.21562,1.28828
,,,,,,,,,,,
,,,,,,,,,,,
Freesia 128,1,1,1,1,1,1,1,1,1,1,1
,2,1.977,1.9995,1.982,1.9805,1.995,1.9975,1.992,1.9825,1.9745,1.9935
,4,3.9915,3.95525,3.89175,3.964,3.86,3.8755,3.88375,3.93975,3.98675,3.983
,8,3.818,3.84925,3.84925,3.8505,3.84875,3.81875,3.869,3.8645,3.82125,3.84325
,16,3.89281,3.9,3.87531,3.94094,3.84281,3.86563,3.90031,3.88219,3.86313,3.81438
,32,3.90133,3.925,3.93586,3.91586,3.91312,3.92875,3.925,3.91578,3.90766,3.9393
,64,3.93594,3.94039,3.94516,3.92211,3.93836,3.94359,3.95211,3.94828,3.94188,3.92305
,128,3.93758,3.93211,3.93297,3.94109,3.94586,3.95547,3.96648,3.95211,3.95102,3.94383
